"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_067_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, Difference between predicted and achieved BTEC Extended diploma points, Reformed BTEC indicator, POLAR4 Quintile, Applicant type                                                                    "
"Coverage: UK, 18 year old, main scheme applicants with a predicted BTEC Extended diploma. Restricted to applicants where the reformed/non-reformed status of their predicted and achieved BTEC extended diplomas is the same."
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -     4208 lines in total"
"------------------------------------------------------------------"
Year,Difference between predicted and achieved BTEC Extended diploma points,Reformed BTEC indicator,POLAR4 Quintile,Applicant type,Applicants,
2013,All,Non-reformed BTEC,Quintile 4,All,4460
2013,All,Non-reformed BTEC,Quintile 5,All,3520
2013,All,Non-reformed BTEC,Unknown,All,25
2014,All,Non-reformed BTEC,Quintile 1,All,4220
2014,All,Non-reformed BTEC,Quintile 2,All,4930
2014,All,Non-reformed BTEC,Quintile 3,All,4770
2014,All,Non-reformed BTEC,Quintile 4,All,5145
2014,All,Non-reformed BTEC,Quintile 5,All,3870
2014,All,Non-reformed BTEC,Unknown,All,25
2015,All,Non-reformed BTEC,Quintile 1,All,4790
2015,All,Non-reformed BTEC,Quintile 2,All,5435
2015,All,Non-reformed BTEC,Quintile 3,All,5385
2015,All,Non-reformed BTEC,Quintile 4,All,5725
2015,All,Non-reformed BTEC,Quintile 5,All,4490
2015,All,Non-reformed BTEC,Unknown,All,30
2016,All,Non-reformed BTEC,Quintile 1,All,4555
2016,All,Non-reformed BTEC,Quintile 2,All,5230
2016,All,Non-reformed BTEC,Quintile 3,All,5380
2016,All,Non-reformed BTEC,Quintile 4,All,5570
2016,All,Non-reformed BTEC,Quintile 5,All,4525
2016,All,Non-reformed BTEC,Unknown,All,20
2017,All,Non-reformed BTEC,Quintile 1,All,4055
2017,All,Non-reformed BTEC,Quintile 2,All,4635
2017,All,Non-reformed BTEC,Quintile 3,All,5020
2017,All,Non-reformed BTEC,Quintile 4,All,5285
2017,All,Non-reformed BTEC,Quintile 5,All,4225
2017,All,Non-reformed BTEC,Unknown,All,20
2018,All,Non-reformed BTEC,Quintile 1,All,3365
2018,All,Non-reformed BTEC,Quintile 2,All,3635
2018,All,Non-reformed BTEC,Quintile 3,All,3935
2018,All,Non-reformed BTEC,Quintile 4,All,4205
2018,All,Non-reformed BTEC,Quintile 5,All,3250
2018,All,Non-reformed BTEC,Unknown,All,25
2018,All,Reformed BTEC,Quintile 1,All,325
2018,All,Reformed BTEC,Quintile 2,All,405
2018,All,Reformed BTEC,Quintile 3,All,460
2018,All,Reformed BTEC,Quintile 4,All,610
2018,All,Reformed BTEC,Quintile 5,All,470
2019,All,Non-reformed BTEC,Quintile 1,All,2360
2019,All,Non-reformed BTEC,Quintile 2,All,2760
2019,All,Non-reformed BTEC,Quintile 3,All,2990
2019,All,Non-reformed BTEC,Quintile 4,All,3220
2019,All,Non-reformed BTEC,Quintile 5,All,2505
2019,All,Non-reformed BTEC,Unknown,All,15
2019,All,Reformed BTEC,Quintile 1,All,805
2019,All,Reformed BTEC,Quintile 2,All,950
2019,All,Reformed BTEC,Quintile 3,All,1105
2019,All,Reformed BTEC,Quintile 4,All,1225
2019,All,Reformed BTEC,Quintile 5,All,1010
2019,All,Reformed BTEC,Unknown,All,5
2020,All,Non-reformed BTEC,Quintile 1,All,2505
2020,All,Non-reformed BTEC,Quintile 2,All,2995
2020,All,Non-reformed BTEC,Quintile 3,All,3365
2020,All,Non-reformed BTEC,Quintile 4,All,3485
2020,All,Non-reformed BTEC,Quintile 5,All,2720
2020,All,Non-reformed BTEC,Unknown,All,10
2020,All,Reformed BTEC,Quintile 1,All,965
2020,All,Reformed BTEC,Quintile 2,All,1090
2020,All,Reformed BTEC,Quintile 3,All,1255
2020,All,Reformed BTEC,Quintile 4,All,1410
2020,All,Reformed BTEC,Quintile 5,All,1065
2020,All,Reformed BTEC,Unknown,All,5
2021,All,Non-reformed BTEC,Quintile 1,All,2365
2021,All,Non-reformed BTEC,Quintile 2,All,2780
2021,All,Non-reformed BTEC,Quintile 3,All,3160
2021,All,Non-reformed BTEC,Quintile 4,All,3225
2021,All,Non-reformed BTEC,Quintile 5,All,2840
2021,All,Non-reformed BTEC,Unknown,All,10
2021,All,Reformed BTEC,Quintile 1,All,1570
2021,All,Reformed BTEC,Quintile 2,All,1785
2021,All,Reformed BTEC,Quintile 3,All,2095
2021,All,Reformed BTEC,Quintile 4,All,2270
2021,All,Reformed BTEC,Quintile 5,All,1800
2021,All,Reformed BTEC,Unknown,All,5
2010,All,Non-reformed BTEC,Quintile 1,Main scheme applicant,3395
2010,All,Non-reformed BTEC,Quintile 2,Main scheme applicant,4075
2010,All,Non-reformed BTEC,Quintile 3,Main scheme applicant,4130
2010,All,Non-reformed BTEC,Quintile 4,Main scheme applicant,4065
2010,All,Non-reformed BTEC,Quintile 5,Main scheme applicant,3455
2010,All,Non-reformed BTEC,Unknown,Main scheme applicant,20
2011,All,Non-reformed BTEC,Quintile 1,Main scheme applicant,3755
2011,All,Non-reformed BTEC,Quintile 2,Main scheme applicant,4355
2011,All,Non-reformed BTEC,Quintile 3,Main scheme applicant,4180
2011,All,Non-reformed BTEC,Quintile 4,Main scheme applicant,4450
2011,All,Non-reformed BTEC,Quintile 5,Main scheme applicant,3605
2011,All,Non-reformed BTEC,Unknown,Main scheme applicant,20
2012,All,Non-reformed BTEC,Quintile 1,Main scheme applicant,3275
2012,All,Non-reformed BTEC,Quintile 2,Main scheme applicant,3725
2012,All,Non-reformed BTEC,Quintile 3,Main scheme applicant,3745
2012,All,Non-reformed BTEC,Quintile 4,Main scheme applicant,3815
2012,All,Non-reformed BTEC,Quintile 5,Main scheme applicant,3040
2012,All,Non-reformed BTEC,Unknown,Main scheme applicant,25
2013,All,Non-reformed BTEC,Quintile 1,Main scheme applicant,3560
2013,All,Non-reformed BTEC,Quintile 2,Main scheme applicant,4255
2013,All,Non-reformed BTEC,Quintile 3,Main scheme applicant,4160
2013,All,Non-reformed BTEC,Quintile 4,Main scheme applicant,4460
2013,All,Non-reformed BTEC,Quintile 5,Main scheme applicant,3520
2013,All,Non-reformed BTEC,Unknown,Main scheme applicant,25
2014,All,Non-reformed BTEC,Quintile 1,Main scheme applicant,4220
2014,All,Non-reformed BTEC,Quintile 2,Main scheme applicant,4930
2014,All,Non-reformed BTEC,Quintile 3,Main scheme applicant,4770
2014,All,Non-reformed BTEC,Quintile 4,Main scheme applicant,5145
2014,All,Non-reformed BTEC,Quintile 5,Main scheme applicant,3870
2014,All,Non-reformed BTEC,Unknown,Main scheme applicant,25
2015,All,Non-reformed BTEC,Quintile 1,Main scheme applicant,4790
2015,All,Non-reformed BTEC,Quintile 2,Main scheme applicant,5435
2015,All,Non-reformed BTEC,Quintile 3,Main scheme applicant,5385
2015,All,Non-reformed BTEC,Quintile 4,Main scheme applicant,5725
2015,All,Non-reformed BTEC,Quintile 5,Main scheme applicant,4490
2015,All,Non-reformed BTEC,Unknown,Main scheme applicant,30
2016,All,Non-reformed BTEC,Quintile 1,Main scheme applicant,4555
2016,All,Non-reformed BTEC,Quintile 2,Main scheme applicant,5230
2016,All,Non-reformed BTEC,Quintile 3,Main scheme applicant,5380
2016,All,Non-reformed BTEC,Quintile 4,Main scheme applicant,5570
2016,All,Non-reformed BTEC,Quintile 5,Main scheme applicant,4525
2016,All,Non-reformed BTEC,Unknown,Main scheme applicant,20
2017,All,Non-reformed BTEC,Quintile 1,Main scheme applicant,4055
2017,All,Non-reformed BTEC,Quintile 2,Main scheme applicant,4635
2017,All,Non-reformed BTEC,Quintile 3,Main scheme applicant,5020
2017,All,Non-reformed BTEC,Quintile 4,Main scheme applicant,5285
2017,All,Non-reformed BTEC,Quintile 5,Main scheme applicant,4225
2017,All,Non-reformed BTEC,Unknown,Main scheme applicant,20
2018,All,Non-reformed BTEC,Quintile 1,Main scheme applicant,3365
2018,All,Non-reformed BTEC,Quintile 2,Main scheme applicant,3635
2018,All,Non-reformed BTEC,Quintile 3,Main scheme applicant,3935
2018,All,Non-reformed BTEC,Quintile 4,Main scheme applicant,4205
2018,All,Non-reformed BTEC,Quintile 5,Main scheme applicant,3250
2018,All,Non-reformed BTEC,Unknown,Main scheme applicant,25
2018,All,Reformed BTEC,Quintile 1,Main scheme applicant,325
2018,All,Reformed BTEC,Quintile 2,Main scheme applicant,405
2018,All,Reformed BTEC,Quintile 3,Main scheme applicant,460
2018,All,Reformed BTEC,Quintile 4,Main scheme applicant,610
2018,All,Reformed BTEC,Quintile 5,Main scheme applicant,470
2019,All,Non-reformed BTEC,Quintile 1,Main scheme applicant,2360
2019,All,Non-reformed BTEC,Quintile 2,Main scheme applicant,2760
2019,All,Non-reformed BTEC,Quintile 3,Main scheme applicant,2990
2019,All,Non-reformed BTEC,Quintile 4,Main scheme applicant,3220
2019,All,Non-reformed BTEC,Quintile 5,Main scheme applicant,2505
2019,All,Non-reformed BTEC,Unknown,Main scheme applicant,15
2019,All,Reformed BTEC,Quintile 1,Main scheme applicant,805
2019,All,Reformed BTEC,Quintile 2,Main scheme applicant,950
2019,All,Reformed BTEC,Quintile 3,Main scheme applicant,1105
2019,All,Reformed BTEC,Quintile 4,Main scheme applicant,1225
2019,All,Reformed BTEC,Quintile 5,Main scheme applicant,1010
2019,All,Reformed BTEC,Unknown,Main scheme applicant,5
2020,All,Non-reformed BTEC,Quintile 1,Main scheme applicant,2505
2020,All,Non-reformed BTEC,Quintile 2,Main scheme applicant,2995
2020,All,Non-reformed BTEC,Quintile 3,Main scheme applicant,3365
