"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_016_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, A level points (equivalent grade profile), A level only status, Domicile, Gender, Age group, Applicant type                                                    "
"Coverage: UK, 18 year old applicants with at least 3 achieved A levels"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -    32734 lines in total"
"------------------------------------------------------------------"
Year,A level points (equivalent grade profile),A level only status,Domicile,Gender,Age group,Applicant type,Applicants,
2011,All,All,All,Men,18,All,78880
2011,All,All,All,Women,18,All,99545
2012,All,All,All,Men,18,All,74590
2012,All,All,All,Women,18,All,96415
2013,All,All,All,Men,18,All,73775
2013,All,All,All,Women,18,All,95805
2014,All,All,All,Men,18,All,72525
2014,All,All,All,Women,18,All,94525
2015,All,All,All,Men,18,All,73200
2015,All,All,All,Women,18,All,98140
2016,All,All,All,Men,18,All,72925
2016,All,All,All,Women,18,All,97930
2017,All,All,All,Men,18,All,73575
2017,All,All,All,Women,18,All,97805
2018,All,All,All,Men,18,All,71340
2018,All,All,All,Women,18,All,94470
2019,All,All,All,Men,18,All,71035
2019,All,All,All,Women,18,All,92660
2020,All,All,All,Men,18,All,73065
2020,All,All,All,Women,18,All,95660
2021,All,All,All,Men,18,All,79840
2021,All,All,All,Women,18,All,102005
2010,All,All,All,Men,18,Main scheme applicant,78915
2010,All,All,All,Men,18,Non-main scheme applicant,30
2010,All,All,All,Women,18,Main scheme applicant,99190
2010,All,All,All,Women,18,Non-main scheme applicant,20
2011,All,All,All,Men,18,Main scheme applicant,78835
2011,All,All,All,Men,18,Non-main scheme applicant,45
2011,All,All,All,Women,18,Main scheme applicant,99490
2011,All,All,All,Women,18,Non-main scheme applicant,55
2012,All,All,All,Men,18,Main scheme applicant,74545
2012,All,All,All,Men,18,Non-main scheme applicant,40
2012,All,All,All,Women,18,Main scheme applicant,96375
2012,All,All,All,Women,18,Non-main scheme applicant,40
2013,All,All,All,Men,18,Main scheme applicant,73735
2013,All,All,All,Men,18,Non-main scheme applicant,40
2013,All,All,All,Women,18,Main scheme applicant,95760
2013,All,All,All,Women,18,Non-main scheme applicant,45
2014,All,All,All,Men,18,Main scheme applicant,72490
2014,All,All,All,Men,18,Non-main scheme applicant,35
2014,All,All,All,Women,18,Main scheme applicant,94500
2014,All,All,All,Women,18,Non-main scheme applicant,25
2015,All,All,All,Men,18,Main scheme applicant,73160
2015,All,All,All,Men,18,Non-main scheme applicant,40
2015,All,All,All,Women,18,Main scheme applicant,98080
2015,All,All,All,Women,18,Non-main scheme applicant,60
2016,All,All,All,Men,18,Main scheme applicant,72875
2016,All,All,All,Men,18,Non-main scheme applicant,45
2016,All,All,All,Women,18,Main scheme applicant,97875
2016,All,All,All,Women,18,Non-main scheme applicant,55
2017,All,All,All,Men,18,Main scheme applicant,73485
2017,All,All,All,Men,18,Non-main scheme applicant,90
2017,All,All,All,Women,18,Main scheme applicant,97705
2017,All,All,All,Women,18,Non-main scheme applicant,100
2018,All,All,All,Men,18,Main scheme applicant,71290
2018,All,All,All,Men,18,Non-main scheme applicant,50
2018,All,All,All,Women,18,Main scheme applicant,94395
2018,All,All,All,Women,18,Non-main scheme applicant,75
2019,All,All,All,Men,18,Main scheme applicant,70620
2019,All,All,All,Men,18,Non-main scheme applicant,415
2019,All,All,All,Women,18,Main scheme applicant,92190
2019,All,All,All,Women,18,Non-main scheme applicant,470
2020,All,All,All,Men,18,Main scheme applicant,72570
2020,All,All,All,Men,18,Non-main scheme applicant,495
2020,All,All,All,Women,18,Main scheme applicant,95145
2020,All,All,All,Women,18,Non-main scheme applicant,515
2021,All,All,All,Men,18,Main scheme applicant,79555
2021,All,All,All,Men,18,Non-main scheme applicant,280
2021,All,All,All,Women,18,Main scheme applicant,101765
